{'name': 'PRP_Renyi_only', 'c': 1, 'renyi': 7.375350413459243, 'shannon': 9.655907407397473, 'elapsed': 0.0025053024291992188, 'bandwidth': 0.0}
{'name': 'POP_Renyi_only', 'c': 1, 'renyi': 7.375350413459243, 'shannon': 9.655907407397473, 'elapsed': 0.002310037612915039, 'bandwidth': 0.0}
{'name': 'POP_Shannon_only', 'c': 1, 'renyi': 7.375350413459243, 'shannon': 9.655907407397473, 'elapsed': 0.0024871826171875, 'bandwidth': 0.0}
{'name': 'PRP_Renyi_Bandwidth', 'c': 1, 'renyi': 7.375350413459243, 'shannon': 9.655907407397473, 'elapsed': 0.0049419403076171875, 'bandwidth': 0.0}
{'name': 'POP_Renyi_Bandwidth', 'c': 1, 'renyi': 7.375350413459243, 'shannon': 9.655907407397473, 'elapsed': 0.004750967025756836, 'bandwidth': 0.0}
{'name': 'POP_Renyi_Shannon', 'c': 1, 'renyi': 7.375350413459243, 'shannon': 9.655907407397473, 'elapsed': 0.0047338008880615234, 'bandwidth': 0.0}
{'name': 'PRP_Renyi_only', 'c': 1.02, 'renyi': 5.63933224596683, 'shannon': 7.295484889293576, 'elapsed': 0.043813228607177734, 'bandwidth': 0.0024013791249964792}
{'name': 'POP_Renyi_only', 'c': 1.02, 'renyi': 5.7863060841086025, 'shannon': 7.150697107174428, 'elapsed': 0.05124855041503906, 'bandwidth': 0.0029766789375132454}
{'name': 'POP_Shannon_only', 'c': 1.02, 'renyi': 5.8041612476717885, 'shannon': 7.1075503668990265, 'elapsed': 0.0213623046875, 'bandwidth': 0.0031149478819277546}
{'name': 'PRP_Renyi_Bandwidth', 'c': 1.02, 'renyi': 5.63933224596683, 'shannon': 7.342431865960874, 'elapsed': 0.2815392017364502, 'bandwidth': 0.002246563787744649}
{'name': 'POP_Renyi_Bandwidth', 'c': 1.02, 'renyi': 5.7863060841086025, 'shannon': 7.150697107174428, 'elapsed': 0.05727243423461914, 'bandwidth': 0.0029766789375132454}
{'name': 'POP_Renyi_Shannon', 'c': 1.02, 'renyi': 5.7863060841086025, 'shannon': 7.150697107174428, 'elapsed': 61.12263607978821, 'bandwidth': 0.0029766789375132454}
{'name': 'PRP_Renyi_only', 'c': 1.04, 'renyi': 5.154437407696543, 'shannon': 6.6366624682631405, 'elapsed': 0.04712724685668945, 'bandwidth': 0.005877891672622612}
{'name': 'POP_Renyi_only', 'c': 1.04, 'renyi': 5.324052710659085, 'shannon': 6.3879455675762, 'elapsed': 0.17650842666625977, 'bandwidth': 0.006249370620648311}
{'name': 'POP_Shannon_only', 'c': 1.04, 'renyi': 5.357311054787704, 'shannon': 6.359440466345667, 'elapsed': 0.043955087661743164, 'bandwidth': 0.006301914574345209}
{'name': 'PRP_Renyi_Bandwidth', 'c': 1.04, 'renyi': 5.154437407696543, 'shannon': 6.661841020771905, 'elapsed': 0.4232778549194336, 'bandwidth': 0.005233749228233822}
{'name': 'POP_Renyi_Bandwidth', 'c': 1.04, 'renyi': 5.324052710659085, 'shannon': 6.3879455675762, 'elapsed': 0.1833639144897461, 'bandwidth': 0.006249370620648311}
{'name': 'POP_Renyi_Shannon', 'c': 1.04, 'renyi': 5.324052710659085, 'shannon': 6.3879455675762, 'elapsed': 15.71653127670288, 'bandwidth': 0.006249370620648311}
{'name': 'PRP_Renyi_only', 'c': 1.06, 'renyi': 4.83608671878137, 'shannon': 6.205655657557422, 'elapsed': 0.051213979721069336, 'bandwidth': 0.010820510409724121}
{'name': 'POP_Renyi_only', 'c': 1.06, 'renyi': 5.016265661848529, 'shannon': 5.91800114252448, 'elapsed': 0.29161858558654785, 'bandwidth': 0.011248583179309152}
{'name': 'POP_Shannon_only', 'c': 1.06, 'renyi': 5.036600681241424, 'shannon': 5.8845163798455875, 'elapsed': 0.06360077857971191, 'bandwidth': 0.012465305984547556}
{'name': 'PRP_Renyi_Bandwidth', 'c': 1.06, 'renyi': 4.83608671878137, 'shannon': 6.233118401407804, 'elapsed': 0.5030438899993896, 'bandwidth': 0.009566740078891358}
{'name': 'POP_Renyi_Bandwidth', 'c': 1.06, 'renyi': 5.016265661848529, 'shannon': 5.91800114252448, 'elapsed': 0.29860687255859375, 'bandwidth': 0.011248583179309152}
{'name': 'POP_Renyi_Shannon', 'c': 1.06, 'renyi': 5.016265661848529, 'shannon': 5.91800114252448, 'elapsed': 7.1395652294158936, 'bandwidth': 0.011248583179309152}
{'name': 'PRP_Renyi_only', 'c': 1.08, 'renyi': 4.597452183835069, 'shannon': 5.8547647326828525, 'elapsed': 0.05317187309265137, 'bandwidth': 0.01554020981493309}
